car_number,average_speed_km_h,total_distance_m,total_operating_time_s,utilization
368,14.15129151291513,30231.223799999985,7879.102999999999,0.28465530008848106
5221,11.839145106861642,103633.23020000005,27032.915499999992,0.12264109997247523
5313,19.066394951354194,1303373.2230000016,233324.51850000134,0.12814047053782018
5313,20.226355362089436,477577.33909999946,79737.86874999978,0.11181126518194312
5336,16.154154447702833,1483024.3797000067,319995.272000004,0.16542162789139592
5336,23.663887441375717,481608.2321999995,60569.34024999962,0.14924515811828934
5382,10.964285714285714,65743.25289999999,21168.651499999974,0.2228218087269956
5681,15.839591984112655,1658484.6236999978,349035.57675000664,0.21805372272091114
5681,19.14866911923826,848010.5225000022,148718.2375000003,0.2179282318892875
5888,22.607134392036027,1746957.4075999993,262242.20450000215,0.22747609619884107
17733,23.205818965517242,1012064.7169000005,144671.4000000007,0.23321523689388146
17733,22.377135625395486,927745.2221999982,146899.19199999998,0.21267150623488454
17986,18.56032048836322,2138160.194,409003.51750000566,0.21226151546962696
17986,21.18225760591413,1258709.0580000004,224347.8477500016,0.3316718595604458
18515,19.261712223484594,2791360.147899998,470712.93975000904,0.24130995692307766
18515,22.550425531914893,1003449.0901999988,146963.89825000023,0.2185535048041238
18791,21.670510708401977,246471.11399999988,40045.98299999996,0.23865664132738965
78039,41.630434782608695,14762.202500000001,1335.5704999999998,1.0
80707,16.097902097902097,169719.86630000005,39983.15299999989,0.22394805643762844
